RUN	SolrQueryTraffic	solrquerytraffic	1545814412295	 	3.0.1
REQUEST	41		Search	1545814478479	1545814538479	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	41	END	1545814477504	1545814538488
REQUEST	50		Search	1545814483015	1545814543017	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	90		Search	1545814511581	1545814540380	OK	 
USER	Users	90	END	1545814505014	1545814543083
REQUEST	24		Search	1545814495681	1545814539581	OK	 
USER	Users	24	END	1545814465513	1545814544090
REQUEST	60		Search	1545814489014	1545814539436	OK	 
REQUEST	58		Search	1545814488977	1545814548979	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	57		Search	1545814488977	1545814548979	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	61		Search	1545814489515	1545814549518	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	46		Search	1545814489836	1545814549841	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	46	END	1545814480503	1545814549846
REQUEST	62		Search	1545814490516	1545814550520	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	63		Search	1545814491015	1545814551020	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	66		Search	1545814492506	1545814552511	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	51		Search	1545814493604	1545814553604	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	51	END	1545814488962	1545814553606
REQUEST	69		Search	1545814494015	1545814554016	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	68		Search	1545814495022	1545814555023	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	68	END	1545814493513	1545814555025
REQUEST	71		Search	1545814495521	1545814555523	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	74		Search	1545814497015	1545814557017	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
