RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818328066	1	3.0.1
REQUEST	54		Search	1545818341368	1545818341463	OK	 
REQUEST	55		Search	1545818341409	1545818341470	OK	 
REQUEST	53		Search	1545818341406	1545818341495	OK	 
REQUEST	53		Search	1545818341507	1545818341552	OK	 
REQUEST	52		Search	1545818341462	1545818341579	OK	 
REQUEST	53		Search	1545818341554	1545818341585	OK	 
USER	Users	53	END	1545818341010	1545818341591
USER	Users	56	START	1545818341610	1545818341610
REQUEST	55		Search	1545818341481	1545818341596	OK	 
REQUEST	52		Search	1545818341581	1545818341636	OK	 
REQUEST	54		Search	1545818341465	1545818341668	OK	 
REQUEST	52		Search	1545818341638	1545818341676	OK	 
USER	Users	52	END	1545818340808	1545818341681
REQUEST	55		Search	1545818341623	1545818341689	OK	 
REQUEST	56		Search	1545818341611	1545818341703	OK	 
REQUEST	54		Search	1545818341674	1545818341761	OK	 
USER	Users	54	END	1545818341208	1545818341765
REQUEST	56		Search	1545818341708	1545818341782	OK	 
REQUEST	55		Search	1545818341698	1545818341790	OK	 
USER	Users	57	START	1545818341809	1545818341809
REQUEST	56		Search	1545818341785	1545818341842	OK	 
REQUEST	57		Search	1545818341810	1545818341923	OK	 
REQUEST	56		Search	1545818341844	1545818341933	OK	 
REQUEST	55		Search	1545818341793	1545818341929	OK	 
USER	Users	55	END	1545818341409	1545818341949
REQUEST	56		Search	1545818341935	1545818341961	OK	 
USER	Users	56	END	1545818341610	1545818341963
REQUEST	57		Search	1545818341928	1545818341982	OK	 
USER	Users	58	START	1545818342009	1545818342009
REQUEST	58		Search	1545818342010	1545818342051	OK	 
REQUEST	57		Search	1545818341985	1545818342088	OK	 
REQUEST	58		Search	1545818342053	1545818342089	OK	 
REQUEST	57		Search	1545818342090	1545818342138	OK	 
REQUEST	58		Search	1545818342094	1545818342172	OK	 
USER	Users	59	START	1545818342211	1545818342211
REQUEST	57		Search	1545818342140	1545818342258	OK	 
USER	Users	57	END	1545818341809	1545818342270
REQUEST	58		Search	1545818342175	1545818342277	OK	 
REQUEST	59		Search	1545818342211	1545818342310	OK	 
REQUEST	58		Search	1545818342279	1545818342329	OK	 
USER	Users	58	END	1545818342009	1545818342331
REQUEST	59		Search	1545818342311	1545818342383	OK	 
USER	Users	60	START	1545818342409	1545818342409
REQUEST	59		Search	1545818342384	1545818342572	OK	 
USER	Users	61	START	1545818342609	1545818342609
REQUEST	60		Search	1545818342409	1545818342632	OK	 
REQUEST	61		Search	1545818342610	1545818342670	OK	 
REQUEST	60		Search	1545818342635	1545818342682	OK	 
REQUEST	61		Search	1545818342672	1545818342704	OK	 
