RUN	SolrQueryTraffic	solrquerytraffic	1545769019568	 	3.0.1
REQUEST	74		Search	1545769099940	1545769160193	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	74	END	1545769088885	1545769160197
USER	Users	188	START	1545769160375	1545769160375
REQUEST	97		Search	1545769100459	1545769160463	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	98		Search	1545769100882	1545769160885	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	189	START	1545769160892	1545769160892
REQUEST	138		Search	1545769144679	1545769160751	OK	 
USER	Users	138	END	1545769127904	1545769160948
REQUEST	68		Search	1545769145899	1545769160623	OK	 
USER	Users	68	END	1545769085887	1545769160970
REQUEST	143		Search	1545769131385	1545769160610	OK	 
USER	Users	190	START	1545769161391	1545769161391
REQUEST	78		Search	1545769101906	1545769161914	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	78	END	1545769090885	1545769161917
USER	Users	191	START	1545769162376	1545769162376
REQUEST	88		Search	1545769102557	1545769162561	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	88	END	1545769095875	1545769162562
REQUEST	168		Search	1545769148885	1545769162612	OK	 
REQUEST	166		Search	1545769147375	1545769162612	OK	 
REQUEST	155		Search	1545769146347	1545769162501	OK	 
USER	Users	155	END	1545769140387	1545769162679
USER	Users	192	START	1545769162885	1545769162885
USER	Users	193	START	1545769163385	1545769163385
REQUEST	93		Search	1545769103474	1545769163476	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	93	END	1545769098387	1545769163477
USER	Users	194	START	1545769163887	1545769163887
REQUEST	105		Search	1545769104378	1545769164378	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	195	START	1545769164387	1545769164387
USER	Users	196	START	1545769164885	1545769164885
USER	Users	197	START	1545769165387	1545769165387
USER	Users	198	START	1545769165885	1545769165885
USER	Users	199	START	1545769166386	1545769166386
USER	Users	200	START	1545769166886	1545769166886
USER	Users	201	START	1545769167387	1545769167387
REQUEST	107		Search	1545769107774	1545769167778	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	112		Search	1545769107875	1545769167879	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	202	START	1545769167885	1545769167885
REQUEST	113		Search	1545769108378	1545769168382	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	203	START	1545769168386	1545769168386
USER	Users	204	START	1545769168886	1545769168886
USER	Users	205	START	1545769169385	1545769169385
REQUEST	115		Search	1545769109386	1545769169389	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
REQUEST	72		Search	1545769147327	1545769169821	OK	 
REQUEST	175		Search	1545769152888	1545769169825	OK	 
USER	Users	72	END	1545769087886	1545769169831
USER	Users	206	START	1545769169885	1545769169885
REQUEST	116		Search	1545769109887	1545769169889	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	172		Search	1545769151386	1545769170003	OK	 
USER	Users	207	START	1545769170396	1545769170396
REQUEST	151		Search	1545769147502	1545769170396	OK	 
USER	Users	151	END	1545769137385	1545769170609
USER	Users	208	START	1545769170885	1545769170885
REQUEST	118		Search	1545769110888	1545769170889	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/0:0:0:0:0:0:0:1:8983 after 60000 ms
USER	Users	209	START	1545769171385	1545769171385
REQUEST	119		Search	1545769111386	1545769171389	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	210	START	1545769171885	1545769171885
REQUEST	121		Search	1545769112386	1545769172389	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
REQUEST	6		Search	1545769114936	1545769174939	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to localhost/127.0.0.1:8983 after 60000 ms
USER	Users	6	END	1545769054885	1545769174940
REQUEST	125		Search	1545769116377	1545769176381	KO	
