RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818512781	 	3.0.1
REQUEST	53		Search	1545818523515	1545818523554	OK	 
USER	Users	53	END	1545818522971	1545818523560
REQUEST	56		Search	1545818523512	1545818523588	OK	 
REQUEST	57		Search	1545818523545	1545818523644	OK	 
REQUEST	56		Search	1545818523592	1545818523655	OK	 
REQUEST	55		Search	1545818523528	1545818523659	OK	 
USER	Users	55	END	1545818523252	1545818523681
USER	Users	58	START	1545818523684	1545818523684
REQUEST	56		Search	1545818523658	1545818523687	OK	 
USER	Users	56	END	1545818523393	1545818523690
REQUEST	57		Search	1545818523649	1545818523690	OK	 
REQUEST	57		Search	1545818523694	1545818523739	OK	 
REQUEST	58		Search	1545818523685	1545818523763	OK	 
REQUEST	57		Search	1545818523741	1545818523774	OK	 
REQUEST	57		Search	1545818523778	1545818523805	OK	 
USER	Users	57	END	1545818523544	1545818523807
REQUEST	58		Search	1545818523766	1545818523810	OK	 
USER	Users	59	START	1545818523823	1545818523823
REQUEST	59		Search	1545818523824	1545818523881	OK	 
REQUEST	58		Search	1545818523813	1545818523885	OK	 
REQUEST	58		Search	1545818523897	1545818523921	OK	 
REQUEST	59		Search	1545818523883	1545818523958	OK	 
REQUEST	58		Search	1545818523924	1545818523972	OK	 
USER	Users	60	START	1545818523974	1545818523974
USER	Users	58	END	1545818523684	1545818523974
REQUEST	59		Search	1545818523960	1545818524012	OK	 
REQUEST	60		Search	1545818523975	1545818524033	OK	 
REQUEST	60		Search	1545818524035	1545818524074	OK	 
REQUEST	60		Search	1545818524076	1545818524089	OK	 
REQUEST	60		Search	1545818524090	1545818524109	OK	 
REQUEST	59		Search	1545818524017	1545818524109	OK	 
USER	Users	61	START	1545818524114	1545818524114
REQUEST	61		Search	1545818524114	1545818524162	OK	 
REQUEST	59		Search	1545818524113	1545818524162	OK	 
USER	Users	59	END	1545818523823	1545818524164
REQUEST	60		Search	1545818524111	1545818524189	OK	 
USER	Users	60	END	1545818523974	1545818524204
REQUEST	61		Search	1545818524164	1545818524209	OK	 
REQUEST	61		Search	1545818524212	1545818524235	OK	 
USER	Users	62	START	1545818524254	1545818524254
REQUEST	62		Search	1545818524256	1545818524337	OK	 
REQUEST	61		Search	1545818524237	1545818524333	OK	 
REQUEST	61		Search	1545818524340	1545818524368	OK	 
USER	Users	61	END	1545818524114	1545818524370
REQUEST	62		Search	1545818524339	1545818524377	OK	 
USER	Users	63	START	1545818524402	1545818524402
REQUEST	62		Search	1545818524381	1545818524406	OK	 
REQUEST	63		Search	1545818524402	1545818524424	OK	 
REQUEST	62		Search	1545818524410	1545818524426	OK	 
REQUEST	63		Search	1545818524425	1545818524465	OK	 
REQUEST	62		Search	1545818524427	1545818524472	OK	 
USER	Users	62	END	1545818524254	1545818524480
REQUEST	63		Search	1545818524470	1545818524495	OK	 
REQUEST	63		Search	1545818524499	1545818524539	OK	 
USER	Users	64	START	1545818524543	1545818524543
REQUEST	64		Search	1545818524544	1545818524576	OK	 
REQUEST	63		Search	1545818524542	1545818524574	OK	 
USER	Users	63	END	1545818524402	1545818524580
REQUEST	64		Search	1545818524580	1545818524636	OK	 
USER	Users	65	START	1545818524682	1545818524682
REQUEST	64		Search	1545818524652	1545818524709	OK	 
REQUEST	65		Search	1545818524682	1545818524733	OK	 
REQUEST	64		Search	1545818524723	1545818524760	OK	 
REQUEST	65		Search	1545818524749	1545818524787	OK	 
REQUEST	64		Search	1545818524762	1545818524803	OK	 
USER	Users	64	END	1545818524543	1545818524807
USER	Users	66	START	1545818524824	1545818524824
REQUEST	65		Search	1545818524791	1545818524825	OK	 
REQUEST	65		Search	1545818524828	1545818524858	OK	 
REQUEST	66		Search	1545818524825	1545818524865	OK	 
REQUEST	65		Search	1545818524860	1545818524890	OK	 
USER	Users	65	END	1545818524682	1545818524893
USER	Users	67	START	1545818524973	1545818524973
REQUEST	67		Search	1545818524974	1545818525051	OK	 
REQUEST	67		Search	1545818525073	1545818525105	OK	 
USER	Users	68	START	1545818525114	1545818525114
REQUEST	67		Search	1545818525106	1545818525138	OK	 
REQUEST	68		Search	1545818525114	1545818525150	OK	 
REQUEST	67		Search	1545818525142	1545818525191	OK	 
REQUEST	67		Search	1545818525192	1545818525237	OK	 
USER	Users	67	END	1545818524973	1545818525241
REQUEST	68		Search	1545818525153	1545818525230	OK	 
USER	Users	69	START	1545818525251	1545818525251
REQUEST	69		Search	1545818525252	1545818525330	OK	 
REQUEST	68		Search	1545818525243	1545818525330	OK	 
REQUEST	68		Search	1545818525332	1545818525374	OK	 
USER	Users	70	START	1545818525392	1545818525392
REQUEST	66		Search	1545818524872	1545818525191	OK	 
REQUEST	69		Search	1545818525332	1545818525483	OK	 
REQUEST	68		Search	1545818525376	1545818525519	OK	 
USER	Users	68	END	1545818525114	1545818525520
REQUEST	70		Search	1545818525392	1545818525537	OK	 
USER	Users	71	START	1545818525544	1545818525544
REQUEST	66		Search	1545818525426	1545818525545	OK	 
REQUEST	69		Search	1545818525488	1545818525581	OK	 
REQUEST	69		Search	1545818525587	1545818525607	OK	 
REQUEST	69		Search	1545818525608	1545818525632	OK	 
USER	Users	69	END	1545818525251	1545818525635
REQUEST	70		Search	1545818525541	1545818525641	OK	 
REQUEST	66		Search	1545818525561	1545818525649	OK	 
REQUEST	71		Search	1545818525545	1545818525645	OK	 
USER	Users	72	START	1545818525682	1545818525682
REQUEST	71		Search	1545818525664	1545818525706	OK	 
REQUEST	72		Search	1545818525683	1545818525723	OK	 
REQUEST	70		Search	1545818525644	1545818525783	OK	 
REQUEST	66		Search	1545818525652	1545818525783	OK	 
USER	Users	66	END	1545818524824	1545818525785
REQUEST	72		Search	1545818525725	1545818525787	OK	 
REQUEST	71		Search	1545818525708	1545818525818	OK	 
REQUEST	72		Search	1545818525789	1545818525821	OK	 
USER	Users	73	START	1545818525824	1545818525824
REQUEST	70		Search	1545818525785	1545818525852	OK	 
REQUEST	70		Search	1545818525855	1545818525877	OK	 
USER	Users	70	END	1545818525392	1545818525878
REQUEST	72		Search	1545818525823	1545818525880	OK	 
REQUEST	73		Search	1545818525824	1545818525880	OK	 
REQUEST	73		Search	1545818525883	1545818525919	OK	 
REQUEST	71		Search	1545818525819	1545818525919	OK	 
REQUEST	72		Search	1545818525881	1545818525939	OK	 
USER	Users	72	END	1545818525682	1545818525940
REQUEST	71		Search	1545818525924	1545818525954	OK	 
USER	Users	71	END	1545818525544	1545818525955
REQUEST	73		Search	1545818525920	1545818525962	OK	 
USER	Users	74	START	1545818525973	1545818525973
REQUEST	74		Search	1545818525974	1545818525999	OK	 
REQUEST	73		Search	1545818525964	1545818526001	OK	 
REQUEST	73		Search	1545818526002	1545818526079	OK	 
USER	Users	73	END	1545818525824	1545818526080
REQUEST	74		Search	1545818526000	1545818526089	OK	 
USER	Users	75	START	1545818526111	1545818526111
REQUEST	75		Search	1545818526112	1545818526204	OK	 
REQUEST	74		Search	1545818526090	1545818526203	OK	 
USER	Users	76	START	1545818526252	1545818526252
REQUEST	74		Search	1545818526227	1545818526257	OK	 
REQUEST	75		Search	1545818526206	1545818526257	OK	 
REQUEST	74		Search	1545818526258	1545818526310	OK	 
USER	Users	74	END	1545818525973	1545818526312
REQUEST	76		Search	1545818526252	1545818526312	OK	 
REQUEST	76		Search	1545818526313	1545818526334	OK	 
REQUEST	75		Search	1545818526268	1545818526343	OK	 
USER	Users	77	START	1545818526403	1545818526403
